ID,age,gender,ethnicity,school,TIME,Duration (in seconds),lat,long,Company,Regard,Privacy,Recommend
85,3,1,2,8,9:00,529,26.21589661,-98.32530212,Instagram,1,1,0
86,5,2,1,4,12:00,704,34.15390015,-117.9918976,Instagram,4,5,6
87,2,2,1,8,6:00,327,42.01060486,-87.66860199,Instagram,6,8,8
88,3,1,1,8,5:00,287,37.27220154,-121.8435974,Instagram,7,7,9
89,2,2,1,5,11:00,646,41.15319824,-85.48100281,Instagram,4,5,5
90,3,2,5,7,8:00,472,26.36520386,127.758606,Instagram,7,10,10
91,3,2,1,4,5:00,277,39.61720276,-75.86779785,Instagram,7,7,5
92,2,1,1,8,11:00,645,40.76269531,-73.3227005,Instagram,3,5,9
93,4,2,4,5,12:00,753,40.86849976,-73.83940125,Instagram,4,8,0
94,5,2,1,8,11:00,695,48.18530273,-121.6777954,Instagram,4,5,1
95,6,2,1,8,12:00,706,41.61230469,-86.13809967,Instagram,4,0,0
96,3,2,3,8,12:00,741,29.79629517,-95.3266983,Instagram,5,5,7
